,id,orig_c1,orig_c2,c1,c2,c3,formula_combined,chemical_formula,x,y,z,sphericity,shape,area/volume,max/min,space_group_core,space_group_shell,crystal_structure,coer_oe,sat_em_g,mr (emu/g),exc_bias_oe,ver_shift_emu_g,temperature_k,fc_field_t,h_range_max_koe,mass_ratio,exc_dir,ver_s_dir,common_spin,Effective anisotropy constant (J/m3),magnetic anisotropy constant (J/m3),magnetocrystalline anisotropy constant (J/m3),Anisotropy constant,Crystalline,MAE,Curie temperature (K),exchange constant (J/m) *10^-12,Electronegativity core,Demagnetization factors (Nd),interdomain coupling (alpha),mass_magnetic_susceptibility(emu/Oe*g)
102,103,Fe0.5Co0.5,,Fe1 Co1,,,Fe1 Co1,['Fe0.5Co0.5'],45,45,45,0.805995977,3,0.1333333333,1,229,0,3,2899.7,97.3,39.33,0,0.656,10,2,30,43,1,1,,,,,,,,,,,,,
103,104,Fe0.5Co0.5,,Fe1 Co1,,,Fe1 Co1,['Fe0.5Co0.5'],48,48,48,0.805995977,3,0.125,1,229,0,3,1499,97.45,32,0,1.744,150,2.2,30,43,1,1,,,,,,,,,,,,,
104,105,Fe0.5Co0.5,,Fe1 Co1,,,Fe1 Co1,['Fe0.5Co0.5'],51,51,51,0.805995977,3,0.1176470588,1,229,0,3,799.65,90.95,21,0.05,0.43,300,2,30,43,1,1,,,,,,,,,,,,,
105,106,Fe0.3Co0.7,,Fe3 Co7,,,Fe3 Co7,['Fe0.3Co0.7'],45,45,45,0.805995977,3,0.1333333333,1,229,0,3,3999.65,18.3,21.6,0.05,0,10,1.4,30,28,1,1,,,,,,,,,,,,,
106,107,Fe0.3Co0.7,,Fe3 Co7,,,Fe3 Co7,['Fe0.3Co0.7'],48,48,48,0.805995977,3,0.125,1,229,0,3,2299.75,13,18,99.95,0,150,1.4,30,28,1,1,,,,,,,,,,,,,
107,108,Fe0.3Co0.7,,Fe3 Co7,,,Fe3 Co7,['Fe0.3Co0.7'],51,51,51,0.805995977,3,0.1176470588,1,229,0,3,1099.75,10.85,11.7,0.05,0,300,1.2,30,28,0,1,,,,,,,,,,,,,
108,109,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",20,20,20,0.805995977,3,0.3,1,225,227,7,1804.3,24.75,7.735,1804,7.735,5,7,60,65,0,1,,,,,,,,,,,,,
109,110,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",16,16,16,1.000000282,1,0.1875,1,225,227,7,1620.97,25.45,10.5,781.28,3.74,5,7,60,65,0,1,,,,,,,,,,,,,
110,111,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",25,25,25,1.64394881,7,0.12,1,225,227,7,2044.82,19.21,7.1,1022,3.717,5,7,60,65,0,1,,,,,,,,,,,,,
111,112,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",14,14,14,0.5166432673,2,0.4821428571,1,225,227,7,681.83,20,10,471,0,20,0.1,52.5,65,0,1,,,,,,,,,,,,,
112,113,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",32,32,32,0.805995977,3,0.1875,1,225,227,7,2762,54.36,6.795,2762,3.125,2,1,20,65,0,1,,,,,,,,,,,,,
113,114,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",35,35,35,0.805995977,3,0.1714285714,1,225,227,7,2396.15,31.729,9.495,2250,2,2,1,20,65,0,1,,,,,,,,,,,,,
114,115,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",35,35,35,0.6711392913,5,0.4199125273,1,225,227,7,959.2,44.14,13.638,583,7.934,2,1,20,65,0,1,,,,,,,,,,,,,
115,116,Fe,Fe3O4,Fe1,Fe3 O4,,Fe4 O4,"['Fe', 'Fe3O4']",13.8,13.8,13.8,1.000000282,1,0.2173913043,1,229,62,10,1897,31,28.9,1190,0,5,1,10,68,0,1,,,,,,,,,,,,,
116,117,Fe3O4,,Fe3 O4,,,Fe3 O4,['Fe3O4'],16,16,16,1.000000282,1,0.1875,1,62,0,3,862,84,76.8,133,0.4476,5,1,10,62,0,1,,,,,,,,,,,,,
117,118,Fe,Fe2O3,Fe1,Fe2 O3,,Fe3 O3,"['Fe', 'Fe2O3']",15,15,15,1.000000282,1,0.2,1,229,212,5,1361.79,15.1225,8.3157,20,0.3699,30,5,60,68,0,1,,,,,,,,,,,,,
118,119,Fe,Fe2O3,Fe1,Fe2 O3,,Fe3 O3,"['Fe', 'Fe2O3']",10,10,10,1.000000282,1,0.3,1,229,212,5,2544.74,15.2465,1.9716,1071.526,0.514774,15,5,60,68,0,1,,,,,,,,,,,,,
119,120,Fe,Fe2O3,Fe1,Fe2 O3,,Fe3 O3,"['Fe', 'Fe2O3']",8,8,8,1.000000282,1,0.375,1,229,212,5,2545,15.2465,1.9716,2188,0.626774,10,5,60,68,0,1,,,,,,,,,,,,,
120,121,Fe,Fe2O3,Fe1,Fe2 O3,,Fe3 O3,"['Fe', 'Fe2O3']",15,15,15,1.000000282,1,0.2,1,229,212,5,5159.4368,53.7118,27.19526,1600,0,5,1,60,68,0,1,,,,,,,,,,,,,
121,122,Fe,Fe2O3,Fe1,Fe2 O3,,Fe3 O3,"['Fe', 'Fe2O3']",10,10,10,1.000000282,1,0.3,1,229,212,5,2124.4,32.5288,13.376,3500,0.000912,5,1,60,68,0,1,,,,,,,,,,,,,
122,123,FeO,Fe3O4,Fe1 O1,Fe3 O4,,Fe4 O5,"['FeO', 'Fe3O4']",18,18,18,0.5166432673,2,0.375,1,225,227,5,1538.46,38.9,16.23,1000,0,300,0,50,65,0,1,,,,,,,,,,,,,
123,124,Fe,Fe2O3,Fe1,Fe2 O3,,Fe3 O3,"['Fe', 'Fe2O3']",11.3,11.3,11.3,1.000000282,1,0.2654867257,1,229,212,5,10873.37,0.989,0.9845,22459,2.046,5,7,10,68,0,1,,,,,,,,,,,,,
124,125,Fe,Fe2O3,Fe1,Fe2 O3,,Fe3 O3,"['Fe', 'Fe2O3']",11.3,11.3,11.3,1.000000282,1,0.2654867257,1,229,212,5,14972.9325,5.227,1.3525,18003,1.957,5,9,10,68,0,1,,,,,,,,,,,,,
125,126,Fe,Fe2O3,Fe1,Fe2 O3,,Fe3 O3,"['Fe', 'Fe2O3']",17.9,17.9,17.9,1.000000282,1,0.1675977654,1,229,212,5,7232.8,48.348,30.2472,140,0.926,5,2,20,68,0,1,,,,,,,,,,,,,
126,127,Fe,Fe2O3,Fe1,Fe2 O3,,Fe3 O3,"['Fe', 'Fe2O3']",23.3,23.3,23.3,1.000000282,1,0.1287553648,1,229,212,5,1359.636,20.862,7.2,964.9,4.79,5,1.36,20,68,0,1,,,,,,,,,,,,,
127,128,La2FeMnO6,,La2 Mn1 Fe1 O6,,,La2 Mn1 Fe1 O6,['La2FeMnO6'],32.698,32.698,,1.000000282,1,0.09174873081,1,62,0,19,933.92,7.538,0.78,932,0.01,15,0.1,15,52,0,0,,,,,,,,,,,,,
128,129,La2FeMnO6,,La2 Mn1 Fe1 O6,,,La2 Mn1 Fe1 O6,['La2FeMnO6'],32.698,32.698,,1.000000282,1,0.09174873081,1,62,0,19,206,5.942,0.5365,865.6,0.0315,50,0.1,15,52,0,0,,,,,,,,,,,,,
129,130,La2FeMnO6,,La2 Mn1 Fe1 O6,,,La2 Mn1 Fe1 O6,['La2FeMnO6'],32.698,32.698,,1.000000282,1,0.09174873081,1,62,0,19,176.327,20.87,0.222,122.374,0.02,100,0.1,15,52,0,0,,,,,,,,,,,,,
130,131,La2FeMnO6,,La2 Mn1 Fe1 O6,,,La2 Mn1 Fe1 O6,['La2FeMnO6'],25.472,25.472,,1.000000282,1,0.1177763819,1,62,0,19,919.3,11.450636,4.325562,510.4,0.000875,250,0.1,15,52,0,1,,,,,,,,,,,,,
131,132,FeVO4,Fe3O4,V1 Fe1 O4,Fe3 O4,,V1 Fe4 O8,"['FeVO4', 'Fe3O4']",40,40,40,1.000000282,1,0.075,1,1,227,23,107,64.7492,55.5196734,13,0.002,5,2,10,16,0,0,,,,,,,,,,,,,
132,133,FeVO4,Fe3O4,V1 Fe1 O4,Fe3 O4,,V1 Fe4 O8,"['FeVO4', 'Fe3O4']",40,40,40,1.000000282,1,0.075,1,1,227,23,450,64.7492,55.5196734,78,0.00626,5,2,10,16,0,0,,,,,,,,,,,,,
133,134,LaFeO3,,La1 Fe1 O3,,,La1 Fe1 O3,['LaFeO3'],44,44,44,1.000000282,1,0.06818181818,1,221,0,3,5250,0.0025,0.00091,650,0,300,0,20,51,0,1,,,,,,,,,,,,,
134,135,LaFeO3,,La1 Fe1 O3,,,La1 Fe1 O3,['LaFeO3'],49,49,49,1.000000282,1,0.0612244898,1,221,0,3,4750,0.0035,0.000363,254,0,300,0,20,51,0,1,,,,,,,,,,,,,
135,136,LaFeO3,,La1 Fe1 O3,,,La1 Fe1 O3,['LaFeO3'],64,64,64,1.000000282,1,0.046875,1,221,0,3,1750,0.0035,0.000227,250,0,300,0,20,51,0,1,,,,,,,,,,,,,
136,137,LaFeO3,,La1 Fe1 O3,,,La1 Fe1 O3,['LaFeO3'],44,44,44,1.000000282,1,0.06818181818,1,221,0,3,1000,104.716,49.7217,2275,34.8796,10,8,20,51,0,1,,,,,,,,,,,,,
137,138,LaFeO3,,La1 Fe1 O3,,,La1 Fe1 O3,['LaFeO3'],49,49,49,1.000000282,1,0.0612244898,1,221,0,3,1125,104.716,49.7217,2120,34.8796,10,8,20,51,0,1,,,,,,,,,,,,,
138,139,LaFeO3,,La1 Fe1 O3,,,La1 Fe1 O3,['LaFeO3'],64,64,64,1.000000282,1,0.046875,1,221,0,3,750,49.988,21.746,800,0.088,10,8,20,51,0,1,,,,,,,,,,,,,
139,140,LaFeO3,,La1 Fe1 O3,,,La1 Fe1 O3,['LaFeO3'],37.86,37.86,37.86,1.000000282,1,0.07923930269,1,62,0,19,5275.5,0.0045,0.0037,511.81,0,300,0,10,51,0,1,,,,,,,,,,,,,
140,141,LaFeO3,,La1 Fe1 O3,,,La1 Fe1 O3,['LaFeO3'],43,43,43,1.000000282,1,0.06976744186,1,62,0,19,1063.17,0.0047,0.00225,1972,0.000145,10,0.8,10,51,0,1,,,,,,,,,,,,,
141,142,Au,Fe3O4,Au1,Fe3 O4,,Fe3 Au1 O4,"['Au', 'Fe3O4']",11.9,11.9,11.9,1.000000282,1,0.2521008403,1,225,227,7,3257.5,10.6986,1.9716,1814.6,0.626774,2,5,60,35,0,1,,,,,,,,,,,,,
142,143,Au,Fe3O4,Au1,Fe3 O4,,Fe3 Au1 O4,"['Au', 'Fe3O4']",11.9,11.9,11.9,1.000000282,1,0.2521008403,1,225,227,7,2751.248,8.3227,1.9716,1350,0.463974,2,5,60,35,0,1,,,,,,,,,,,,,
143,144,Au,Fe3O4,Au1,Fe3 O4,,Fe3 Au1 O4,"['Au', 'Fe3O4']",10.5,10.5,10.5,1.000000282,1,0.2857142857,1,225,227,7,502.31,24.5202,12.59872,502,0.77266,100,5,60,35,0,1,,,,,,,,,,,,,
144,145,Fe3O4,,Fe3 O4,,,Fe3 O4,['Fe3O4'],9.8,9.8,9.8,1.000000282,1,0.306122449,1,227,0,3,181,29.5176,2.15412,181,1.3638,200,5,60,62,0,1,,,,,,,,,,,,,
145,146,Bi0.9Gd0.1Fe0.9Ti0.1O3,,Gd1 Ti1 Fe9 Bi9 O30,,,Gd1 Ti1 Fe9 Bi9 O30,['Bi0.9Gd0.1Fe0.9Ti0.1O3'],12,12,12,1.000000282,1,0.25,1,227,0,14,6000,2.6,0.8,79,0.006,150,6,30,8,0,1,,,,,,,,,,,,,
146,147,Nd0.78Sr0.22CoO3,,Sr11 Nd39 Co50 Cu97 O150,,,Sr11 Nd39 Co50 Cu97 O150,['Nd0.78Sr0.22CoO3'],89,89,89,1.000000282,1,0.03370786517,1,62,0,19,6088.8,29.4,1,149.24,0,2,0.2,70,9,0,1,,,,,,,,,,,,,
147,148,Nd0.78Sr0.22CoO3,,Sr11 Nd39 Co50 Cu97 O150,,,Sr11 Nd39 Co50 Cu97 O150,['Nd0.78Sr0.22CoO3'],89,89,89,1.000000282,1,0.03370786517,1,62,0,19,8899.6785,21.626,1.7,30.67,0,8,5,70,9,0,1,,,,,,,,,,,,,
148,149,Nd0.78Sr0.22CoO3,,Sr11 Nd39 Co50 Cu97 O150,,,Sr11 Nd39 Co50 Cu97 O150,['Nd0.78Sr0.22CoO3'],90,90,90,1.000000282,1,0.03333333333,1,62,0,19,6342.6,20.4,2.536,402.9,0,10,5,70,9,0,1,,,,,,,,,,,,,
149,150,Nd0.78Sr0.22CoO3,,Sr11 Nd39 Co50 Cu97 O150,,,Sr11 Nd39 Co50 Cu97 O150,['Nd0.78Sr0.22CoO3'],89,89,89,1.000000282,1,0.03370786517,1,62,0,19,2142.85,13.44,3.33,1877.782,0,50,5,70,9,0,1,,,,,,,,,,,,,
150,151,Nd0.78Sr0.22CoO3,,Sr11 Nd39 Co50 Cu97 O150,,,Sr11 Nd39 Co50 Cu97 O150,['Nd0.78Sr0.22CoO3'],89,89,89,1.000000282,1,0.03370786517,1,62,0,19,2144.5,10.1,3.768,1877.782,0,75,5,70,9,0,1,,,,,,,,,,,,,
151,152,Nd0.78Sr0.22CoO3,,Sr11 Nd39 Co50 Cu97 O150,,,Sr11 Nd39 Co50 Cu97 O150,['Nd0.78Sr0.22CoO3'],89,89,89,1.000000282,1,0.03370786517,1,62,0,19,1458.4,8.6,3.768,1711.4,0,100,5,70,9,0,1,,,,,,,,,,,,,
152,153,Fe3O4,CoO,Fe3 O4,Co1 O1,,Fe3 Co1 O5,"['Fe3O4', 'CoO']",6.74,6.74,6.74,1.000000282,1,0.4451038576,1,227,225,7,20800,66.04,33.9812,2800,0.0062,5,10,45,48,0,1,,,,,,,,,,,,,
153,154,Fe3O4,CoO,Fe3 O4,Co1 O1,,Fe3 Co1 O5,"['Fe3O4', 'CoO']",6.74,6.74,6.74,1.000000282,1,0.4451038576,1,227,225,7,17600,58.44,33.9812,2600,0.0062,5,10,45,48,0,1,,,,,,,,,,,,,
154,155,CoFe2O4,,Fe2 Co1 O4,,,Fe2 Co1 O4,['CoFe2O4'],9.3,9.3,9.3,1.000000282,1,0.3225806452,1,227,0,3,9460,86.9,48,0,0,5,0,60,39,1,1,,,,,,,,,,,,,
155,156,CoFe2O4,CoO,Fe2 Co1 O4,Co1 O1,,Fe2 Co2 O5,"['CoFe2O4', 'CoO']",12.4,12.4,12.4,1.000000282,1,0.2419354839,1,227,225,7,11900,55.3,30,0,0,5,0,60,32,1,1,,,,,,,,,,,,,
156,157,CoFe2O4,,Fe2 Co1 O4,,,Fe2 Co1 O4,['CoFe2O4'],9.3,9.3,9.3,1.000000282,1,0.3225806452,1,227,0,3,9470,86.9,48,0,0,5,7,60,39,1,1,,,,,,,,,,,,,
157,158,CoFe2O4,CoO,Fe2 Co1 O4,Co1 O1,,Fe2 Co2 O5,"['CoFe2O4', 'CoO']",12.4,12.4,12.4,1.000000282,1,0.2419354839,1,227,225,7,13950,55.7,39.1,3650,0,5,7,60,32,0,1,,,,,,,,,,,,,
158,159,Cu0.98,Fe0.02O,Cu98,Fe1 O50,,Fe1 Cu98 O50,"['Cu0.98', 'Fe0.02O']",12.6,12.6,12.6,1.000000282,1,0.2380952381,1,229,225,7,14,0.025,0.0003,0,0,300,0,80,1,1,1,,,,,,,,,,,,,
159,160,Cu0.96,Fe0.04O,Cu96,Fe1 O25,,Fe1 Cu96 O25,"['Cu0.96', 'Fe0.04O']",7.9,7.9,7.9,1.000000282,1,0.3797468354,1,229,225,7,17,0.172,0.0022,0,0,300,0,80,2,1,1,,,,,,,,,,,,,
160,161,Cu0.98,Fe0.02O,Cu98,Fe1 O50,,Fe1 Cu98 O50,"['Cu0.98', 'Fe0.02O']",12.6,12.6,12.6,1.000000282,1,0.2380952381,1,229,225,7,761,0.115,0.012,530.6,0.0124,10,3.01,80,1,0,1,,,,,,,,,,,,,
161,162,Cu0.96,Fe0.04O,Cu96,Fe1 O25,,Fe1 Cu96 O25,"['Cu0.96', 'Fe0.04O']",7.9,7.9,7.9,1.000000282,1,0.3797468354,1,229,225,7,995,0.344,0.082,906.4,0.0124,10,4.6,80,2,0,1,,,,,,,,,,,,,
162,163,Cu0.98,Fe0.02O,Cu98,Fe1 O50,,Fe1 Cu98 O50,"['Cu0.98', 'Fe0.02O']",12.6,12.6,12.6,1.000000282,1,0.2380952381,1,229,225,7,91,25.3078,0.0386,249,0,100,1,80,1,0,1,,,,,,,,,,,,,
163,164,Cu0.96,Fe0.04O,Cu96,Fe1 O25,,Fe1 Cu96 O25,"['Cu0.96', 'Fe0.04O']",7.9,7.9,7.9,1.000000282,1,0.3797468354,1,229,225,7,25,25.3078,0.132,94,0,100,0,80,2,0,1,,,,,,,,,,,,,
164,165,Cu0.98,Fe0.02O,Cu98,Fe1 O50,,Fe1 Cu98 O50,"['Cu0.98', 'Fe0.02O']",12.6,12.6,12.6,1.000000282,1,0.2380952381,1,229,225,7,247,2.2518,0.0193,1335,0.05734,5,5.5,80,1,0,1,,,,,,,,,,,,,
165,166,Cu0.96,Fe0.04O,Cu96,Fe1 O25,,Fe1 Cu96 O25,"['Cu0.96', 'Fe0.04O']",7.9,7.9,7.9,1.000000282,1,0.3797468354,1,229,225,7,41,2.4798,0.027,1318,0.05734,5,5.5,80,2,0,1,,,,,,,,,,,,,
166,167,Fe2O3,,Fe2 O3,,,Fe2 O3,['Fe2O3'],17,17,17,0.805995977,3,0.3529411765,1,161,0,24,115.005,59.64174,0.015,131,0.00027,30,0,40,59,0,1,,,,,,,,,,,,,
167,168,Fe2O3,,Fe2 O3,,,Fe2 O3,['Fe2O3'],17,17,17,0.805995977,3,0.3529411765,1,161,0,24,125.23,59.64174,0.002,165.23,0.00247,30,0,40,59,0,1,,,,,,,,,,,,,
168,169,Fe2O3,,Fe2 O3,,,Fe2 O3,['Fe2O3'],17,17,17,0.805995977,3,0.3529411765,1,161,0,24,250,70.36974,0.0038,1025,0.004428,100,2,40,59,0,1,,,,,,,,,,,,,
169,170,Fe2O3,,Fe2 O3,,,Fe2 O3,['Fe2O3'],17,17,17,0.805995977,3,0.3529411765,1,161,0,24,579.15,51.242,0.0851,113.5,0,200,2,40,59,0,1,,,,,,,,,,,,,
170,171,NiO,,Ni1 O1,,,Ni1 O1,['NiO'],4,4,4,1.000000282,1,0.75,1,225,0,3,2285.7,5.8,0.4,900,0.0107,5,8,80,69,0,1,,,,,,,,,,,,,
171,172,NiO,,Ni1 O1,,,Ni1 O1,['NiO'],9,9,9,1.000000282,1,0.3333333333,1,225,0,3,2857.1,3.05,0.413,2750,0.186,5,8,80,69,0,1,,,,,,,,,,,,,
172,173,BiFeO3,,Fe1 Bi1 O3,,,Fe1 Bi1 O3,['BiFeO3'],20,20,20,1.000000282,1,0.15,1,161,0,24,239.34,1.5745,0.079,250,0.079,300,2,20,20,1,1,,,,,,,,,,,,,
173,174,BiFeO3,,Fe1 Bi1 O3,,,Fe1 Bi1 O3,['BiFeO3'],30,30,30,1.000000282,1,0.1,1,161,0,24,1135.5,1.585,0.117,984.37,0.092,300,2,20,20,1,1,,,,,,,,,,,,,
174,175,BiFeO3,,Fe1 Bi1 O3,,,Fe1 Bi1 O3,['BiFeO3'],40,40,40,1.000000282,1,0.075,1,161,0,24,1041.71,1.1835,0.119,677,0.047,300,2,20,20,0,1,,,,,,,,,,,,,
175,176,La0.85Sr0.15FeO3,,Sr3 La17 Fe20 O60,,,Sr3 La17 Fe20 O60,['La0.85Sr0.15FeO3'],18.49,18.49,18.49,1.000000282,1,0.1622498648,1,62,0,19,2812.5,30,17.71,812.5,0.006,193,0.06,15,10,0,0,,,,,,,,,,,,,
176,177,Co,Co3O4,Co1,Co3 O4,,Co4 O4,"['Co', 'Co3O4']",27,27,27,1.000000282,1,0.1111111111,1,225,227,7,569.343,122,34.375,124.14,12,5,1,20,70,0,1,,,,,,,,,,,,,
177,178,Co,Co3O4,Co1,Co3 O4,,Co4 O4,"['Co', 'Co3O4']",27,27,27,1.000000282,1,0.1111111111,1,225,227,7,583.34,116,32.07,123.24,6.25,5,1,20,70,0,1,,,,,,,,,,,,,
178,179,Co,Co3O4,Co1,Co3 O4,,Co4 O4,"['Co', 'Co3O4']",27,27,27,1.000000282,1,0.1111111111,1,225,227,7,626.8,105,32.9245,148.595,6.031,5,1,20,70,0,1,,,,,,,,,,,,,
179,180,Co,Co3O4,Co1,Co3 O4,,Co4 O4,"['Co', 'Co3O4']",27,27,27,1.000000282,1,0.1111111111,1,225,227,7,738.96,90.42,27.919,183.82,5.931,5,1,20,70,0,1,,,,,,,,,,,,,
180,181,Co,Co3O4,Co1,Co3 O4,,Co4 O4,"['Co', 'Co3O4']",27,27,27,1.000000282,1,0.1111111111,1,225,227,7,724.638,56.9,15.923,210.53,3.5,5,1,20,70,0,1,,,,,,,,,,,,,
181,182,Co,Co3O4,Co1,Co3 O4,,Co4 O4,"['Co', 'Co3O4']",27,27,27,1.000000282,1,0.1111111111,1,225,227,7,631.58,32,6.5,147.36,0.8,5,1,20,70,0,1,,,,,,,,,,,,,
182,183,Co,Co3O4,Co1,Co3 O4,,Co4 O4,"['Co', 'Co3O4']",27,27,27,1.000000282,1,0.1111111111,1,225,227,7,222,9.55,0.6875,36.6,0.1125,5,1,20,70,0,1,,,,,,,,,,,,,
183,184,Co,Co3O4,Co1,Co3 O4,,Co4 O4,"['Co', 'Co3O4']",27,27,27,1.000000282,1,0.1111111111,1,225,227,7,194.724,4.6,0.191,26.442,0.032,5,1,20,70,0,1,,,,,,,,,,,,,
184,185,Co,Co3O4,Co1,Co3 O4,,Co4 O4,"['Co', 'Co3O4']",27,27,27,1.000000282,1,0.1111111111,1,225,227,7,265,3,0.051,21.5,0.005,5,1,20,70,0,1,,,,,,,,,,,,,
185,186,Mn3O4,,Mn3 O4,,,Mn3 O4,['Mn3O4'],30,30,30,1.000000282,1,0.1,1,141,0,21,1086,46.00596,10.2571,1086,2.238,10,1,20,61,0,1,,,,,,,,,,,,,
186,187,Mn3O4,,Mn3 O4,,,Mn3 O4,['Mn3O4'],60,60,60,1.000000282,1,0.05,1,141,0,21,575,32,17.0812,575,2.319,10,1,20,61,0,1,,,,,,,,,,,,,
187,188,Mn3O4,,Mn3 O4,,,Mn3 O4,['Mn3O4'],90,90,90,1.000000282,1,0.03333333333,1,141,0,21,273,44.9449,10.2571,273,2.339,10,1,20,61,0,1,,,,,,,,,,,,,
188,189,Fe3O4,CoO,Fe3 O4,Co1 O1,,Fe3 Co1 O5,"['Fe3O4', 'CoO']",10.2,10.2,10.2,1.000000282,1,0.2941176471,1,227,225,7,2900,27.7327,10.9126,1290,0.958574,5,7,60,48,0,1,,,,,,,,,,,,,
189,190,Fe3O4,CoO,Fe3 O4,Co1 O1,,Fe3 Co1 O5,"['Fe3O4', 'CoO']",10.2,10.2,10.2,1.000000282,1,0.2941176471,1,227,225,7,7035,33.6393,19.6108,3430,1.723,5,7,60,48,0,1,,,,,,,,,,,,,
190,191,Fe3O4,CoO,Fe3 O4,Co1 O1,,Fe3 Co1 O5,"['Fe3O4', 'CoO']",10.2,10.2,10.2,1.000000282,1,0.2941176471,1,227,225,7,11200,33,20.13,4020,0,5,7,60,48,0,1,,,,,,,,,,,,,
191,192,Fe3O4,CoO,Fe3 O4,Co1 O1,,Fe3 Co1 O5,"['Fe3O4', 'CoO']",10.2,10.2,10.2,1.000000282,1,0.2941176471,1,227,225,7,12700,59,37.76,5100,0,5,7,60,48,0,1,,,,,,,,,,,,,
192,193,Co,CoO,Co1,Co1 O1,,Co2 O1,"['Co', 'CoO']",6,6,6,1.000000282,1,0.5,1,194,225,15,7619,65.7824,40.7799,3773.58,3.8854,10,5,50,74,0,1,,,,,,,,,,,,,
193,194,Co,CoO,Co1,Co1 O1,,Co2 O1,"['Co', 'CoO']",6,6,6,1.000000282,1,0.5,1,194,225,15,6415.09,35.6712,20.8794,5283,1.732432,10,5,50,74,0,1,,,,,,,,,,,,,
194,195,Co,CoO,Co1,Co1 O1,,Co2 O1,"['Co', 'CoO']",6,6,6,1.000000282,1,0.5,1,194,225,15,6037.7,35.6712,20.8794,5283,1.732432,10,5,50,74,0,1,,,,,,,,,,,,,
195,196,Co,CoO,Co1,Co1 O1,,Co2 O1,"['Co', 'CoO']",15,15,15,1.000000282,1,0.2,1,194,225,15,543.7435,40.36,9.4,147.76,1.632,5,1,5,74,0,1,,,,,,,,,,,,,
196,197,Co,CoO,Co1,Co1 O1,,Co2 O1,"['Co', 'CoO']",15,15,15,1.000000282,1,0.2,1,194,225,15,546.7225,38,8.1,14.7,0.13,5,1,5,74,0,1,,,,,,,,,,,,,
197,198,Co,CoO,Co1,Co1 O1,,Co2 O1,"['Co', 'CoO']",15,15,15,1.000000282,1,0.2,1,194,225,15,561.497,38.8,8.16,177.297,2.0245,5,1,5,74,1,0,,,,,,,,,,,,,
198,199,Co,CoO,Co1,Co1 O1,,Co2 O1,"['Co', 'CoO']",45,45,45,1.000000282,1,0.06666666667,1,194,225,15,241.85,4.5,1.432,54,0.354,5,1,5,74,0,1,,,,,,,,,,,,,
199,200,Co,CoO,Co1,Co1 O1,,Co2 O1,"['Co', 'CoO']",45,45,45,1.000000282,1,0.06666666667,1,194,225,15,239.63,4.5,1.479,7.74,0.023,5,1,5,74,0,1,,,,,,,,,,,,,
200,201,Co,CoO,Co1,Co1 O1,,Co2 O1,"['Co', 'CoO']",45,45,45,1.000000282,1,0.06666666667,1,194,225,15,241.8286,4.5,1.4195,65.56,0.255,5,1,5,74,1,0,,,,,,,,,,,,,
201,202,La0.67Sr0.33MnO3,,Sr33 La67 Mn100 O300,,,Sr33 La67 Mn100 O300,['La0.67Sr0.33MnO3'],9.4,9.4,9.4,1.000000282,1,0.3191489362,1,161,0,24,580.7198,13.46,2.214,0.0075,0,330,0,50,17,1,1,,,,,,,,,,,,,
202,203,La0.67Sr0.33MnO3,,Sr33 La67 Mn100 O300,,,Sr33 La67 Mn100 O300,['La0.67Sr0.33MnO3'],9.4,9.4,9.4,1.000000282,1,0.3191489362,1,161,0,24,580.7198,17.17,5.4,0.0075,0,300,0,50,17,1,1,,,,,,,,,,,,,
203,204,La0.67Sr0.33MnO3,,Sr33 La67 Mn100 O300,,,Sr33 La67 Mn100 O300,['La0.67Sr0.33MnO3'],9.4,9.4,9.4,1.000000282,1,0.3191489362,1,161,0,24,210.1434,35.38,19.45,1.1073,0,200,0,50,17,1,1,,,,,,,,,,,,,
204,205,La0.67Sr0.33MnO3,,Sr33 La67 Mn100 O300,,,Sr33 La67 Mn100 O300,['La0.67Sr0.33MnO3'],9.4,9.4,9.4,1.000000282,1,0.3191489362,1,161,0,24,284.6918,56.312,33.184,4.87,0,5,0,50,17,0,1,,,,,,,,,,,,,
205,206,La0.67Sr0.33MnO3,,Sr33 La67 Mn100 O300,,,Sr33 La67 Mn100 O300,['La0.67Sr0.33MnO3'],9.4,9.4,9.4,1.000000282,1,0.3191489362,1,161,0,24,191.28,42.0254,13.9,1.46,0,4,0.001,44,17,0,1,,,,,,,,,,,,,
206,207,La0.67Sr0.33MnO3,,Sr33 La67 Mn100 O300,,,Sr33 La67 Mn100 O300,['La0.67Sr0.33MnO3'],9.4,9.4,9.4,1.000000282,1,0.3191489362,1,161,0,24,168.829,42.0254,13.9,12.3,0,4,0.01,44,17,0,1,,,,,,,,,,,,,
