Area/volume,Max/min(size),org_coating_HAcceptors,org_coating_LogP,common_spin,Effective anisotropy constant (J/m3),magnetic anisotropy constant (J/m3),magnetocrystalline anisotropy constant (J/m3),Anisotropy constant ,Crystalline,MAE,Curie temperature (K),Spehricity,exchange constant (J/m) *10^-12,Electronegativity core,Space group,Demagnetization factors (Nd),Saturation magnetization (emu/g),Coercivity (Oe),Remanence magnetization (emu/g),interdomain coupling (alpha),mass_magnetic_susceptibility(emu/Oe*g),link,Core_composition_formula,length,width,depth
0.502,0.693,0.000,0.000,0.693,11.430,2.451,7.091,12.206,0.000,14.524,6.677,0.693,0.157,1.324,5.429,0.288,3.497,1.518,3.008,0.145,0.001,https://doi.org/10.1016/j.biomaterials.2014.04.036,Co1Fe2O4,9.200,9.200,9.200
0.502,0.693,0.000,0.000,0.693,11.430,2.451,7.091,12.206,0.000,14.524,6.677,0.693,0.157,1.324,5.429,0.288,3.497,1.518,3.008,0.145,0.001,https://doi.org/10.1016/j.biomaterials.2014.04.036,Co1Fe2O4,9.200,9.200,9.200
0.902,0.693,0.000,0.000,1.204,11.002,2.451,12.255,9.306,0.000,13.998,6.680,0.691,0.157,1.324,5.429,0.288,4.286,7.280,3.520,0.145,0.001,https://doi.org/10.1039/C4RA15675G,CoFe2O4,4.100,4.100,4.100
0.361,0.693,0.000,0.000,1.204,11.002,2.451,12.255,9.306,0.000,14.524,6.680,0.693,0.157,1.324,5.429,0.288,4.286,7.280,3.520,0.145,0.001,https://doi.org/10.1039/C4RA15675G,CoFe2O4,13.800,13.800,13.800
0.902,0.693,0.000,0.000,1.204,11.002,2.451,12.255,9.306,0.000,13.998,6.680,0.691,0.157,1.324,5.429,0.288,4.286,7.280,3.520,0.145,0.001,https://doi.org/10.1039/C4RA15675G,CoFe2O4,4.100,4.100,4.100
0.361,0.693,0.000,0.000,1.204,11.002,2.451,12.255,9.306,0.000,14.524,6.680,0.693,0.157,1.324,5.429,0.288,3.182,6.450,2.241,0.145,0.001,https://doi.org/10.1039/C4RA15675G,CoFe2O4,13.800,13.800,13.800
0.219,0.693,0.000,0.000,1.204,11.002,2.451,12.255,9.306,0.000,14.524,6.680,0.693,0.157,1.324,5.429,0.288,4.857,6.620,3.684,0.145,0.001,https://doi.org/10.1039/C4RA15675G,CoFe2O4,24.500,24.500,24.500
0.171,0.693,0.000,0.000,1.204,11.002,2.451,12.255,9.306,0.000,14.524,6.680,0.693,0.157,1.324,5.429,0.288,3.844,7.358,3.100,0.145,0.001,https://doi.org/10.1039/C4RA15675G,CoFe2O4,32.100,32.100,32.100
0.125,0.693,0.000,0.000,1.204,11.002,2.451,12.255,9.306,0.000,14.524,6.680,0.693,0.157,1.324,5.429,0.288,3.182,6.450,2.241,0.145,0.001,https://doi.org/10.1039/C4RA15675G,CoFe2O4,45.200,45.200,45.200
0.219,0.693,0.000,0.000,1.204,11.002,2.451,12.255,9.306,0.000,14.524,6.680,0.693,0.157,1.324,5.429,0.288,4.857,6.620,3.684,0.145,0.001,https://doi.org/10.1039/C4RA15675G,CoFe2O4,24.500,24.500,24.500
0.171,0.693,0.000,0.000,1.204,11.002,2.451,12.255,9.306,0.000,14.524,6.680,0.693,0.157,1.324,5.429,0.288,3.844,7.358,3.100,0.145,0.001,https://doi.org/10.1039/C4RA15675G,CoFe2O4,32.100,32.100,32.100
0.125,0.693,0.000,0.000,1.204,11.002,2.451,12.255,9.306,0.000,14.524,6.680,0.693,0.157,1.324,5.429,0.288,3.182,6.450,2.241,0.145,0.001,https://doi.org/10.1039/C4RA15675G,CoFe2O4,45.200,45.200,45.200
0.357,0.693,0.000,0.000,1.204,11.002,2.451,12.255,9.306,0.000,14.524,6.677,0.693,0.157,1.324,5.429,0.288,4.286,7.280,3.520,0.145,0.001,https://doi.org/10.1039/C1CC14300J,CoFe2O4,14.000,14.000,14.000
0.018,0.693,0.000,0.000,1.204,12.206,2.451,12.874,12.543,0.000,13.557,6.677,0.693,0.157,1.324,5.429,0.288,4.615,6.682,3.401,0.145,0.001,https://doi.org/10.1021/acsnano.1c03128,CoFe2O4,164.800,164.800,164.800
0.018,0.693,0.000,0.000,1.204,9.680,2.451,12.874,12.543,0.000,13.557,6.677,0.693,0.157,1.324,5.429,0.288,4.615,6.682,3.401,0.145,0.001,https://doi.org/10.1021/acsnano.1c03128,CoFe2O4,164.800,164.800,164.800
0.560,0.693,0.000,0.000,1.204,14.457,2.451,12.874,6.399,0.000,13.998,6.677,0.693,0.157,1.324,5.429,0.288,4.238,5.629,2.542,0.145,0.001,Работа ани,CoFe2O4,4.000,4.000,4.000
0.619,0.693,0.000,0.000,1.204,14.457,2.451,12.874,6.399,0.000,13.998,6.677,0.693,0.157,1.324,5.429,0.288,4.398,4.854,2.067,0.145,0.001,Работа ани,CoFe2O4,3.500,3.500,3.500
0.560,0.693,0.000,0.000,1.204,14.457,2.451,12.874,12.206,0.000,13.998,6.677,0.693,0.157,1.346,5.429,0.288,4.209,3.871,1.569,0.145,0.001,Работа ани,CoFe2O4,4.000,4.000,4.000
1.099,0.693,0.000,0.000,1.204,9.680,2.451,12.874,12.206,0.000,13.998,6.677,0.693,0.157,1.324,5.429,0.288,3.589,4.361,0.405,0.145,0.001,Работа ани,CoFe2O4,1.500,1.500,1.500
0.916,0.693,0.000,0.000,1.204,9.680,2.451,12.874,12.206,0.000,13.998,6.677,0.693,0.157,1.324,5.429,0.288,3.835,4.096,0.642,0.145,0.001,Работа ани,CoFe2O4,2.000,2.000,2.000
0.916,0.693,0.000,0.000,1.204,9.680,2.451,12.874,12.206,0.000,13.998,6.677,0.693,0.157,1.324,5.429,0.288,4.608,5.280,1.917,0.145,0.001,Работа ани,CoFe2O4,2.000,2.000,2.000
0.916,0.693,0.000,0.000,1.204,12.206,2.451,12.874,12.206,0.000,13.998,6.677,0.693,0.157,1.346,5.429,0.288,3.627,4.297,0.588,0.145,0.001,Работа ани,CoFe2O4,2.000,2.000,2.000
0.788,0.693,0.000,0.000,1.204,9.680,2.451,12.874,12.206,0.000,13.998,6.677,0.693,0.157,1.324,5.429,0.288,4.110,4.430,1.030,0.145,0.001,https://doi.org/10.1016/j.jmmm.2017.05.039 ,CoFe2O4,5.000,5.000,5.000
0.470,0.693,0.000,0.000,1.204,9.680,2.451,12.874,12.206,0.000,13.998,6.677,0.693,0.157,1.324,5.429,0.288,4.159,0.000,0.000,0.145,0.001,https://doi.org/10.1016/j.jmmm.2017.05.039 ,CoFe2O4,10.000,10.000,10.000
0.257,0.693,0.000,0.000,1.204,9.680,2.451,12.874,12.206,0.000,14.524,6.677,0.693,0.157,1.324,5.429,0.288,4.890,0.000,0.000,0.145,0.001,https://doi.org/10.1021/acs.langmuir.8b00753 ,CoFe2O4,20.500,20.500,20.500
0.420,0.693,0.000,0.000,1.204,9.680,2.451,12.874,12.206,0.000,14.524,6.677,0.693,0.157,1.324,5.429,0.288,4.159,0.000,0.000,0.145,0.001,https://doi.org/10.1021/acs.langmuir.8b00753 ,CoFe2O4,11.500,11.500,11.500
0.916,0.693,0.000,0.000,1.204,9.680,2.451,7.091,12.206,0.000,13.998,6.677,0.693,0.157,1.346,5.429,0.288,3.784,4.335,0.531,0.145,0.001,Работа ани,CoFe2O4,2.000,2.000,2.000
0.140,0.693,1.609,-5.473,0.580,11.043,10.929,12.155,9.804,0.000,14.670,6.232,0.693,2.583,1.324,4.956,0.288,3.991,1.609,0.405,0.145,0.004,https://doi.org/10.1016/j.jallcom.2019.152548,Cu1Fe2O4,19.900,19.900,19.900
0.140,0.693,1.609,-5.473,0.580,11.043,10.929,12.155,9.804,0.000,14.670,6.232,0.693,2.583,1.324,4.956,0.288,3.991,1.609,0.405,0.145,0.004,https://doi.org/10.1016/j.jallcom.2019.152548,Cu1Fe2O4,19.900,19.900,19.900
0.140,0.693,1.609,-5.473,0.580,11.043,10.929,12.155,9.804,0.000,14.670,6.232,0.693,2.583,1.324,4.956,0.288,3.991,1.609,0.405,0.145,0.004,https://doi.org/10.1016/j.jallcom.2019.152548,Cu1Fe2O4,19.900,19.900,19.900
0.006,2.531,0.000,0.000,0.288,11.043,10.930,12.155,9.804,0.000,13.557,6.232,0.693,2.583,1.295,4.956,0.288,2.079,0.000,0.000,0.284,0.004,https://doi.org/10.1039/D0DT02395G,CuCuFe2O4,480.000,41.500,41.500
0.006,2.531,0.000,0.000,0.288,11.043,10.930,12.155,9.804,0.000,13.557,6.232,0.693,2.583,1.295,4.956,0.288,2.079,0.000,0.000,0.284,0.004,https://doi.org/10.1039/D0DT02395G,CuCuFe2O4,480.000,41.500,41.500
0.357,0.693,0.000,0.000,0.288,11.043,12.315,12.155,9.804,0.000,14.798,6.232,0.693,2.583,1.295,5.429,0.288,3.381,2.881,0.192,0.145,0.015,https://doi.org/10.1016/j.surfin.2021.101109,CuCuFe2O4,7.000,7.000,7.000
0.357,0.693,0.000,0.000,0.288,11.043,12.315,12.155,9.804,0.000,14.798,6.232,0.693,2.583,1.295,5.429,0.288,2.104,1.962,0.192,0.145,0.015,https://doi.org/10.1016/j.surfin.2021.101109,CuCuFe2O4,7.000,7.000,7.000
0.318,0.693,0.000,0.000,0.429,10.131,14.350,9.421,10.258,0.000,13.557,6.536,0.693,,1.316,5.429,0.288,4.203,4.111,0.005,0.405,0.004,https://doi.org/10.1016/j.talanta.2011.09.026,Fe0.5Mn0.5Fe2O4,8.000,8.000,8.000
0.318,0.693,0.000,0.000,0.429,10.131,14.350,9.421,10.258,0.000,13.557,6.536,0.693,,1.316,5.429,0.288,4.203,4.111,0.005,0.405,0.004,https://doi.org/10.1016/j.talanta.2011.09.026,Fe0.5Mn0.5Fe2O4,8.000,8.000,8.000
0.082,0.693,0.000,0.000,0.693,9.306,4.654,9.306,12.449,0.000,11.849,6.756,0.693,0.513,1.322,5.429,0.288,4.205,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.matchemphys.2022.126859,Fe1Fe2O4,35.000,35.000,35.000
0.082,0.693,0.000,0.000,0.693,9.306,4.654,9.306,12.449,0.000,11.849,6.756,0.693,0.513,1.322,5.429,0.288,4.205,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.matchemphys.2022.126859,Fe1Fe2O4,35.000,35.000,35.000
0.082,0.693,0.000,0.000,0.693,9.306,4.654,9.306,12.449,0.000,11.849,6.756,0.693,0.513,1.322,5.429,0.288,4.205,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.matchemphys.2022.126859,Fe1Fe2O4,35.000,35.000,35.000
0.082,0.693,0.000,0.000,0.693,9.306,4.654,9.306,12.449,0.000,11.849,6.756,0.693,0.513,1.322,5.429,0.288,4.205,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.matchemphys.2022.126859,Fe1Fe2O4,35.000,35.000,35.000
0.082,0.693,0.000,0.000,0.693,9.306,4.654,9.306,12.449,0.000,11.849,6.756,0.693,0.513,1.322,5.429,0.288,4.205,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.matchemphys.2022.126859,Fe1Fe2O4,35.000,35.000,35.000
0.082,0.693,0.000,0.000,0.693,9.306,4.654,9.306,12.449,0.000,11.849,6.756,0.693,0.513,1.322,5.429,0.288,4.205,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.matchemphys.2022.126859,Fe1Fe2O4,35.000,35.000,35.000
0.082,0.693,0.000,0.000,0.693,9.306,4.654,9.306,12.449,0.000,11.849,6.756,0.693,0.513,1.322,5.429,0.288,4.205,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.matchemphys.2022.126859,Fe1Fe2O4,35.000,35.000,35.000
0.082,0.693,0.000,0.000,0.693,9.306,4.654,9.306,12.449,0.000,11.849,6.756,0.693,0.513,1.322,5.429,0.288,4.205,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.matchemphys.2022.126859,Fe1Fe2O4,35.000,35.000,35.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.163,0.693,0.000,0.000,0.693,9.306,4.654,8.007,12.449,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,17.000,17.000,17.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.094,0.000,0.000,0.405,0.000,https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.191,0.000,0.000,0.405,0.000,https://doi.org/10.1007/s11051-022-05596-z,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.191,0.000,0.000,0.405,0.000,https://doi.org/10.1007/s11051-022-05596-z,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.191,0.000,0.000,0.405,0.000,https://doi.org/10.1007/s11051-022-05596-z,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.191,0.000,0.000,0.405,0.000,https://doi.org/10.1007/s11051-022-05596-z,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.220,0.000,0.000,0.405,0.000,https://doi.org/10.1007/s11051-022-05596-z,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.220,0.000,0.000,0.405,0.000,https://doi.org/10.1007/s11051-022-05596-z,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.220,0.000,0.000,0.405,0.000,https://doi.org/10.1007/s11051-022-05596-z,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.220,0.000,0.000,0.405,0.000,https://doi.org/10.1007/s11051-022-05596-z,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.236,0.000,0.000,0.405,0.000,https://doi.org/10.1007/s11051-022-05596-z,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.236,0.000,0.000,0.405,0.000,https://doi.org/10.1007/s11051-022-05596-z,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.236,0.000,0.000,0.405,0.000,https://doi.org/10.1007/s11051-022-05596-z,Fe1Fe2O4,20.000,20.000,20.000
0.140,0.693,0.000,0.000,0.693,8.390,4.654,8.007,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.288,4.236,0.000,0.000,0.405,0.000,https://doi.org/10.1007/s11051-022-05596-z,Fe1Fe2O4,20.000,20.000,20.000
0.195,0.693,0.000,0.000,0.693,10.150,4.654,9.306,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.191,4.271,3.153,1.281,0.405,0.000,https://doi.org/10.1016/j.jmmm.2022.169597,Fe1Fe2O4,13.970,13.970,13.970
0.195,0.693,0.000,0.000,0.693,10.150,4.654,9.306,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.191,4.271,3.153,1.281,0.405,0.000,https://doi.org/10.1016/j.jmmm.2022.169597,Fe1Fe2O4,13.970,13.970,13.970
0.195,0.693,0.000,0.000,0.693,10.150,4.654,9.306,10.519,0.000,11.849,6.756,0.693,0.113,1.322,5.429,0.191,4.271,3.153,1.281,0.405,0.000,https://doi.org/10.1016/j.jmmm.2022.169597,Fe1Fe2O4,13.970,13.970,13.970
0.069,0.693,0.000,0.000,0.693,7.439,4.654,9.306,9.798,0.000,11.849,6.756,0.643,0.113,1.322,5.429,0.288,3.325,4.234,2.041,0.405,0.000,https://doi.org/10.1016/j.bioadv.2022.213021,Fe1Fe2O4,42.200,42.200,42.200
0.074,0.693,0.000,0.000,0.693,5.861,4.654,9.306,9.798,0.000,11.849,6.756,0.643,0.113,1.322,5.429,0.288,3.928,4.066,2.079,0.405,0.000,https://doi.org/10.1016/j.bioadv.2022.213021,Fe1Fe2O4,38.900,38.900,38.900
0.074,0.693,0.000,0.000,0.693,5.861,4.654,9.306,9.798,0.000,11.849,6.756,0.643,0.113,1.322,5.429,0.288,3.928,4.066,2.079,0.405,0.000,https://doi.org/10.1016/j.bioadv.2022.213021,Fe1Fe2O4,38.900,38.900,38.900
0.058,1.260,0.000,0.000,0.693,5.861,4.654,9.306,9.798,0.000,11.849,6.756,0.627,0.113,1.322,5.429,0.025,4.316,4.875,3.054,0.405,0.000,https://doi.org/10.1016/j.bioadv.2022.213021,Fe1Fe2O4,50.500,20.000,43.375
0.058,1.260,0.000,0.000,0.693,6.312,4.654,9.306,9.798,0.000,11.849,6.756,0.627,0.113,1.322,5.429,0.025,4.316,4.875,3.054,0.405,0.000,https://doi.org/10.1016/j.bioadv.2022.213021,Fe1Fe2O4,50.500,20.000,43.375
0.063,0.693,0.000,0.000,0.693,5.994,4.654,9.306,9.798,0.000,11.849,6.756,0.627,0.113,1.322,5.429,0.288,4.443,2.104,1.065,0.405,0.000,https://doi.org/10.1016/j.bioadv.2022.213021,Fe1Fe2O4,46.200,46.200,46.200
0.063,0.693,0.000,0.000,0.693,5.994,4.654,9.306,9.798,0.000,11.849,6.756,0.627,0.113,1.322,5.429,0.288,4.443,2.104,1.065,0.405,0.000,https://doi.org/10.1016/j.bioadv.2022.213021,Fe1Fe2O4,46.200,46.200,46.200
0.344,0.693,1.609,,0.693,9.306,4.654,9.306,9.798,0.000,11.849,6.455,0.693,0.113,1.322,5.429,0.288,4.060,0.000,0.000,0.405,0.000,https://doi.org/10.1007/s11664-022-09678-5,Fe1Fe2O4,7.300,7.300,7.300
0.344,0.693,1.609,,0.693,9.306,4.654,9.306,9.798,0.000,11.849,6.455,0.693,0.113,1.322,5.429,0.288,4.060,0.000,0.000,0.405,0.000,https://doi.org/10.1007/s11664-022-09678-5,Fe1Fe2O4,7.300,7.300,7.300
