Area/volume,Max/min(size),org_coating_HAcceptors,org_coating_LogP,common_spin,Effective anisotropy constant (J/m3),magnetic anisotropy constant (J/m3),magnetocrystalline anisotropy constant (J/m3),Anisotropy constant ,Crystalline,MAE,Curie temperature (K),Spehricity,exchange constant (J/m) *10^-12,Electronegativity core,Space group,Demagnetization factors (Nd),Saturation magnetization (emu/g),Coercivity (Oe),Remanence magnetization (emu/g),interdomain coupling (alpha),mass_magnetic_susceptibility(emu/Oe*g),id,Core_composition_formula,length,width,depth
0.133,1.000,0.000,0.000,2.333,60000.000,10.600,210000.000,11000.000,0.000,512734.250,795.000,1.000,0.170,2.757,227.000,0.333,23.100,631.500,8.400,0.156,0.001,<built-in function id>,CoFe2O4,45.200,45.200,45.200
0.245,1.000,0.000,0.000,2.333,60000.000,10.600,210000.000,11000.000,0.000,2030000.000,795.000,1.000,0.170,2.757,227.000,0.333,127.600,748.720,38.800,0.156,0.001,<built-in function id>,CoFe2O4,24.500,24.500,24.500
0.187,1.000,0.000,0.000,2.333,60000.000,10.600,210000.000,11000.000,0.000,1615000.000,795.000,1.000,0.170,2.757,227.000,0.333,45.700,1567.150,21.200,0.156,0.001,<built-in function id>,CoFe2O4,32.100,32.100,32.100
0.133,1.000,0.000,0.000,2.333,60000.000,10.600,210000.000,11000.000,0.000,512734.250,795.000,1.000,0.170,2.757,227.000,0.333,23.100,631.500,8.400,0.156,0.001,<built-in function id>,CoFe2O4,45.200,45.200,45.200
0.429,1.000,0.000,0.000,2.333,60000.000,10.600,210000.000,11000.000,0.000,2030000.000,793.000,1.000,0.170,2.757,227.000,0.333,71.700,1450.000,32.800,0.156,0.001,<built-in function id>,CoFe2O4,14.000,14.000,14.000
0.018,1.000,0.000,0.000,2.333,200000.000,10.600,390000.000,280000.000,0.000,1615000.000,793.000,1.000,0.170,2.757,227.000,0.333,100.000,797.000,29.000,0.156,0.001,<built-in function id>,CoFe2O4,164.800,164.800,164.800
0.018,1.000,0.000,0.000,2.333,16000.000,10.600,390000.000,280000.000,0.000,1615000.000,793.000,1.000,0.170,2.757,227.000,0.333,100.000,797.000,29.000,0.156,0.001,<built-in function id>,CoFe2O4,164.800,164.800,164.800
0.750,1.000,0.000,0.000,2.333,1900000.000,10.600,390000.000,600.000,0.000,1200000.000,793.000,1.000,0.170,2.757,227.000,0.333,68.300,277.400,11.700,0.156,0.001,<built-in function id>,CoFe2O4,4.000,4.000,4.000
0.857,1.000,0.000,0.000,2.333,1900000.000,10.600,390000.000,600.000,0.000,1200000.000,793.000,1.000,0.170,2.757,227.000,0.333,80.300,127.200,6.900,0.156,0.001,<built-in function id>,CoFe2O4,3.500,3.500,3.500
0.750,1.000,0.000,0.000,2.333,1900000.000,10.600,390000.000,200000.000,0.000,1200000.000,793.000,1.000,0.170,2.842,227.000,0.333,66.300,47.000,3.800,0.156,0.001,<built-in function id>,CoFe2O4,4.000,4.000,4.000
2.000,1.000,0.000,0.000,2.333,16000.000,10.600,390000.000,200000.000,0.000,1200000.000,793.000,1.000,0.170,2.757,227.000,0.333,35.200,77.300,0.500,0.156,0.001,<built-in function id>,CoFe2O4,1.500,1.500,1.500
1.500,1.000,0.000,0.000,2.333,16000.000,10.600,390000.000,200000.000,0.000,1200000.000,793.000,1.000,0.170,2.757,227.000,0.333,45.300,59.100,0.900,0.156,0.001,<built-in function id>,CoFe2O4,2.000,2.000,2.000
1.500,1.000,0.000,0.000,2.333,16000.000,10.600,390000.000,200000.000,0.000,1200000.000,793.000,1.000,0.170,2.757,227.000,0.333,99.300,195.400,5.800,0.156,0.001,<built-in function id>,CoFe2O4,2.000,2.000,2.000
1.500,1.000,0.000,0.000,2.333,200000.000,10.600,390000.000,200000.000,0.000,1200000.000,793.000,1.000,0.170,2.842,227.000,0.333,36.600,72.500,0.800,0.156,0.001,<built-in function id>,CoFe2O4,2.000,2.000,2.000
1.200,1.000,0.000,0.000,2.333,16000.000,10.600,390000.000,200000.000,0.000,1200000.000,793.000,0.998,0.170,2.757,227.000,0.333,55.700,101.775,1.975,0.156,0.001,<built-in function id>,CoFe2O4,5.000,5.000,5.000
0.600,1.000,0.000,0.000,2.333,16000.000,10.600,390000.000,200000.000,0.000,1200000.000,793.000,0.998,0.170,2.757,227.000,0.333,55.700,101.775,1.975,0.156,0.001,<built-in function id>,CoFe2O4,10.000,10.000,10.000
0.293,1.000,0.000,0.000,2.333,16000.000,10.600,390000.000,200000.000,0.000,2030000.000,793.000,1.000,0.170,2.757,227.000,0.333,55.700,101.775,1.975,0.156,0.001,<built-in function id>,CoFe2O4,20.500,20.500,20.500
0.522,1.000,0.000,0.000,2.333,16000.000,10.600,390000.000,200000.000,0.000,2030000.000,793.000,1.000,0.170,2.757,227.000,0.333,55.700,101.775,1.975,0.156,0.001,<built-in function id>,CoFe2O4,11.500,11.500,11.500
1.500,1.000,0.000,0.000,2.333,16000.000,10.600,1200.000,200000.000,0.000,1200000.000,793.000,1.000,0.170,2.842,227.000,0.333,43.000,75.300,0.700,0.156,0.001,<built-in function id>,CoFe2O4,2.000,2.000,2.000
0.151,1.000,4.000,-0.996,0.786,62500.000,200.000,190000.000,18100.000,0.000,2030000.000,508.000,1.000,12.240,2.760,141.000,0.333,53.100,4.000,0.500,0.328,0.000,<built-in function id>,Cu1Fe2O4,19.900,19.900,19.900
0.151,1.000,4.000,-0.996,0.786,62500.000,200.000,190000.000,18100.000,0.000,2030000.000,508.000,1.000,12.240,2.760,141.000,0.333,53.100,4.000,0.500,0.328,0.000,<built-in function id>,Cu1Fe2O4,19.900,19.900,19.900
0.151,1.000,4.000,-0.996,0.786,62500.000,200.000,190000.000,18100.000,0.000,2030000.000,508.000,1.000,12.240,2.760,141.000,0.333,53.100,4.000,0.500,0.328,0.000,<built-in function id>,Cu1Fe2O4,19.900,19.900,19.900
0.006,11.566,0.000,0.000,0.333,62500.000,8602.000,190000.000,18100.000,0.000,2030000.000,508.000,1.000,12.240,2.652,141.000,0.333,7.000,0.000,0.000,0.328,0.000,<built-in function id>,CuCuFe2O4,480.000,41.500,41.500
0.006,11.566,0.000,0.000,0.333,62500.000,8602.000,190000.000,18100.000,0.000,2030000.000,508.000,1.000,12.240,2.652,141.000,0.333,7.000,0.000,0.000,0.328,0.000,<built-in function id>,CuCuFe2O4,480.000,41.500,41.500
0.429,1.000,0.000,0.000,0.333,62500.000,111552.000,190000.000,18100.000,0.000,2670000.000,508.000,1.000,12.240,2.652,227.000,0.333,28.400,16.830,0.212,0.500,0.008,<built-in function id>,CuCuFe2O4,7.000,7.000,7.000
0.429,1.000,0.000,0.000,0.333,62500.000,111552.000,190000.000,18100.000,0.000,2670000.000,508.000,1.000,12.240,2.652,227.000,0.333,7.200,6.110,0.212,0.500,0.008,<built-in function id>,CuCuFe2O4,7.000,7.000,7.000
0.375,1.000,0.000,0.000,0.536,61900.000,104.000,3000.000,27946.560,0.000,140000.000,800.000,0.999,0.120,2.730,227.000,0.333,65.900,60.000,0.000,0.500,0.000,<built-in function id>,Fe0.5Mn0.5Fe2O4,8.000,8.000,8.000
0.375,1.000,0.000,0.000,0.536,61900.000,104.000,3000.000,27946.560,0.000,140000.000,800.000,0.999,0.120,2.730,227.000,0.333,65.900,60.000,0.000,0.500,0.000,<built-in function id>,Fe0.5Mn0.5Fe2O4,8.000,8.000,8.000
0.086,1.000,0.000,0.000,1.000,11000.000,104.000,11000.000,255000.000,0.000,140000.000,858.000,1.000,0.670,2.750,227.000,0.333,66.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,35.000,35.000,35.000
0.086,1.000,0.000,0.000,1.000,11000.000,104.000,11000.000,255000.000,0.000,140000.000,858.000,1.000,0.670,2.750,227.000,0.333,66.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,35.000,35.000,35.000
0.086,1.000,0.000,0.000,1.000,11000.000,104.000,11000.000,255000.000,0.000,140000.000,858.000,1.000,0.670,2.750,227.000,0.333,66.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,35.000,35.000,35.000
0.086,1.000,0.000,0.000,1.000,11000.000,104.000,11000.000,255000.000,0.000,140000.000,858.000,1.000,0.670,2.750,227.000,0.333,66.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,35.000,35.000,35.000
0.086,1.000,0.000,0.000,1.000,11000.000,104.000,11000.000,255000.000,0.000,140000.000,858.000,1.000,0.670,2.750,227.000,0.333,66.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,35.000,35.000,35.000
0.086,1.000,0.000,0.000,1.000,11000.000,104.000,11000.000,255000.000,0.000,140000.000,858.000,1.000,0.670,2.750,227.000,0.333,66.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,35.000,35.000,35.000
0.086,1.000,0.000,0.000,1.000,11000.000,104.000,11000.000,255000.000,0.000,140000.000,858.000,1.000,0.670,2.750,227.000,0.333,66.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,35.000,35.000,35.000
0.086,1.000,0.000,0.000,1.000,11000.000,104.000,11000.000,255000.000,0.000,140000.000,858.000,1.000,0.670,2.750,227.000,0.333,66.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,35.000,35.000,35.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.176,1.000,0.000,0.000,1.000,11000.000,104.000,3000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,17.000,17.000,17.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,59.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,65.100,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,65.100,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,65.100,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,65.100,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,67.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,67.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,67.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,67.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,68.100,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,68.100,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,68.100,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.150,1.000,0.000,0.000,1.000,4400.000,104.000,3000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,68.100,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,20.000,20.000,20.000
0.215,1.000,0.000,0.000,1.000,25600.000,104.000,11000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.210,70.600,22.400,2.600,0.500,0.000,<built-in function id>,Fe1Fe2O4,13.970,13.970,13.970
0.215,1.000,0.000,0.000,1.000,25600.000,104.000,11000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.210,70.600,22.400,2.600,0.500,0.000,<built-in function id>,Fe1Fe2O4,13.970,13.970,13.970
0.215,1.000,0.000,0.000,1.000,25600.000,104.000,11000.000,37000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.210,70.600,22.400,2.600,0.500,0.000,<built-in function id>,Fe1Fe2O4,13.970,13.970,13.970
0.071,1.000,0.000,0.000,1.000,1700.000,104.000,11000.000,18000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,26.800,68.000,6.700,0.500,0.000,<built-in function id>,Fe1Fe2O4,42.200,42.200,42.200
0.077,1.000,0.000,0.000,1.000,350.000,104.000,11000.000,18000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,49.800,57.300,7.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,38.900,38.900,38.900
0.077,1.000,0.000,0.000,1.000,350.000,104.000,11000.000,18000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,49.800,57.300,7.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,38.900,38.900,38.900
0.059,2.525,0.000,0.000,1.000,350.000,104.000,11000.000,18000.000,0.000,140000.000,858.000,0.744,0.120,2.750,227.000,0.025,73.900,130.000,20.200,0.500,0.000,<built-in function id>,Fe1Fe2O4,50.500,20.000,43.000
0.059,2.525,0.000,0.000,1.000,550.000,104.000,11000.000,18000.000,0.000,140000.000,858.000,0.744,0.120,2.750,227.000,0.025,73.900,130.000,20.200,0.500,0.000,<built-in function id>,Fe1Fe2O4,50.500,20.000,43.000
0.065,1.000,0.000,0.000,1.000,400.000,104.000,11000.000,18000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,84.000,7.200,1.900,0.500,0.000,<built-in function id>,Fe1Fe2O4,46.200,46.200,46.200
0.065,1.000,0.000,0.000,1.000,400.000,104.000,11000.000,18000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,84.000,7.200,1.900,0.500,0.000,<built-in function id>,Fe1Fe2O4,46.200,46.200,46.200
0.411,1.000,4.000,-1.248,1.000,11000.000,104.000,11000.000,18000.000,0.000,140000.000,635.000,1.000,0.120,2.750,227.000,0.333,57.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,7.300,7.300,7.300
0.411,1.000,4.000,-1.248,1.000,11000.000,104.000,11000.000,18000.000,0.000,140000.000,635.000,1.000,0.120,2.750,227.000,0.333,57.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,7.300,7.300,7.300
0.411,1.000,4.000,-1.248,1.000,11000.000,104.000,11000.000,18000.000,0.000,140000.000,635.000,1.000,0.120,2.750,227.000,0.333,57.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,7.300,7.300,7.300
0.429,1.000,4.000,-1.248,1.000,11000.000,104.000,11000.000,18000.000,0.000,140000.000,635.000,1.000,0.120,2.750,227.000,0.333,43.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,7.000,7.000,7.000
0.429,1.000,4.000,-1.248,1.000,11000.000,104.000,11000.000,18000.000,0.000,140000.000,635.000,1.000,0.120,2.750,227.000,0.333,43.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,7.000,7.000,7.000
0.429,1.000,4.000,-1.248,1.000,11000.000,104.000,11000.000,18000.000,0.000,140000.000,635.000,1.000,0.120,2.750,227.000,0.333,43.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,7.000,7.000,7.000
0.435,1.000,4.000,-1.248,1.000,11000.000,104.000,11000.000,18000.000,0.000,140000.000,635.000,1.000,0.120,2.750,227.000,0.333,40.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,6.900,6.900,6.900
0.435,1.000,4.000,-1.248,1.000,11000.000,104.000,11000.000,18000.000,0.000,140000.000,635.000,1.000,0.120,2.750,227.000,0.333,40.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,6.900,6.900,6.900
0.435,1.000,4.000,-1.248,1.000,11000.000,104.000,11000.000,18000.000,0.000,140000.000,635.000,1.000,0.120,2.750,227.000,0.333,40.000,0.000,0.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,6.900,6.900,6.900
0.162,1.000,4.000,-0.996,1.000,11000.000,104.000,11000.000,255000.000,0.000,140000.000,858.000,1.000,0.120,2.750,227.000,0.333,58.800,7.500,0.600,0.500,0.000,<built-in function id>,Fe1Fe2O4,18.500,18.500,18.500
0.098,1.628,1.000,6.109,1.000,11000.000,104.000,11000.000,21000.000,0.000,140000.000,858.000,0.870,0.120,2.750,227.000,0.021,86.400,120.000,20.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,70.000,45.000,43.000
0.098,1.628,1.000,6.109,1.000,11000.000,104.000,11000.000,21000.000,0.000,140000.000,858.000,0.870,0.120,2.750,227.000,0.021,86.400,120.000,20.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,70.000,45.000,43.000
0.017,3.500,1.000,6.109,1.000,11000.000,104.000,11000.000,21000.000,0.000,140000.000,858.000,0.846,0.120,2.750,227.000,0.021,86.400,120.000,20.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,210.000,60.000,98.000
0.098,1.628,1.000,6.109,1.000,11000.000,104.000,11000.000,21000.000,0.000,140000.000,858.000,0.867,0.120,2.750,227.000,0.008,86.400,120.000,20.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,70.000,45.000,43.000
0.028,3.091,1.000,6.109,1.000,11000.000,104.000,11000.000,21000.000,0.000,140000.000,858.000,0.856,0.120,2.750,227.000,0.009,86.400,120.000,20.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,170.000,55.000,98.000
0.017,3.500,1.000,6.109,1.000,11000.000,104.000,11000.000,21000.000,0.000,140000.000,858.000,0.846,0.120,2.750,227.000,0.008,86.400,120.000,20.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,210.000,60.000,98.000
0.017,3.500,1.000,6.109,1.000,11000.000,104.000,11000.000,21000.000,0.000,140000.000,858.000,0.846,0.120,2.750,227.000,0.008,86.400,120.000,20.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,210.000,60.000,98.000
0.017,3.500,1.000,6.109,1.000,11000.000,104.000,11000.000,21000.000,0.000,140000.000,858.000,0.846,0.120,2.750,227.000,0.008,86.400,120.000,20.000,0.500,0.000,<built-in function id>,Fe1Fe2O4,210.000,60.000,98.000
